City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kutum,100,SD,1563652764,62,14.2,24.66,76.3,8.52
Barrow,100,AR,1563652764,84,-38.31,-60.23,57.22,12.26
Ushuaia,40,AR,1563652472,47,-54.81,-68.31,37.4,16.11
Upernavik,100,GL,1563652473,93,72.79,-56.15,43.54,12.35
Bredasdorp,79,ZA,1563652472,86,-34.53,20.04,46.0,5.82
Saint-Paul,75,FR,1563652764,69,45.22,1.9,75.2,5.82
Constitucion,40,MX,1563652765,40,23.99,-104.67,75.0,5.82
Adrar,72,DZ,1563652701,12,27.87,-0.29,111.2,17.22
Saint-Philippe,1,CA,1563652765,44,45.36,-73.48,96.01,5.82
Albany,75,US,1563652267,55,42.65,-73.75,95.0,8.05
Port Elizabeth,40,US,1563652472,59,39.31,-74.98,102.0,5.82
Kapaa,20,US,1563652474,69,22.08,-159.32,82.4,14.99
Rikitea,65,PF,1563652407,47,-23.12,-134.97,67.12,6.85
Dawlatabad,0,AF,1563652765,20,36.41,64.91,86.74,12.55
Cape Town,84,ZA,1563652358,68,-33.93,18.42,51.01,12.55
New Norfolk,50,AU,1563652477,62,-42.78,147.06,51.8,13.87
Provideniya,100,RU,1563652765,88,64.42,-173.23,51.82,4.63
Hilo,20,US,1563652251,57,19.71,-155.08,84.0,4.7
Puerto Ayora,20,EC,1563652766,65,-0.74,-90.35,78.8,5.82
Rehoboth,0,NA,1563652766,47,-23.31,17.08,43.0,2.84
Mataura,82,NZ,1563652472,98,-46.19,168.86,46.0,2.19
Moron,80,HT,1563652766,71,18.56,-74.26,83.68,2.64
Quatre Cocos,40,MU,1563652475,83,-20.21,57.76,71.6,6.93
Morondava,0,MG,1563652766,68,-20.3,44.28,75.58,15.52
Kudahuvadhoo,76,MV,1563652766,80,2.67,72.89,82.96,14.14
Holetown,75,BB,1563652767,70,13.19,-59.64,86.0,18.34
Grindavik,75,IS,1563652251,59,63.84,-22.43,64.4,11.41
Port Blair,93,IN,1563652767,82,11.67,92.75,80.98,10.69
Sept-Iles,75,CA,1563652502,77,50.2,-66.38,66.99,8.05
Punta Arenas,75,CL,1563652477,74,-53.16,-70.91,37.4,9.17
Hirson,20,FR,1563652767,64,49.92,4.08,75.0,6.93
Nenjiang,100,CN,1563652767,96,49.17,125.23,68.74,7.92
Bluff,20,AU,1563652471,83,-23.58,149.07,54.34,9.57
Tasiilaq,40,GL,1563652473,76,65.61,-37.64,48.2,8.05
Yellowknife,40,CA,1563652476,49,62.45,-114.38,68.0,12.75
Ponta Delgada,40,PT,1563652589,88,37.73,-25.67,73.4,5.82
Norman Wells,75,CA,1563652250,60,65.28,-126.83,73.4,5.82
Taksimo,100,RU,1563652768,95,56.36,114.84,49.12,0.69
Port Macquarie,0,AU,1563652768,100,-31.43,152.91,41.0,3.13
Paranaiba,42,BR,1563652768,48,-19.68,-51.19,73.06,4.27
Chokurdakh,100,RU,1563652768,79,70.62,147.9,41.56,15.55
Mesker-Yurt,0,RU,1563652769,69,43.25,45.91,77.0,0.85
Andros Town,75,BS,1563652769,59,24.73,-77.79,89.6,12.75
Busselton,100,AU,1563652536,56,-33.64,115.35,59.0,27.63
Sorland,1,NO,1563652769,94,67.67,12.69,53.26,11.74
Hokitika,100,NZ,1563652769,71,-42.72,170.96,50.02,4.61
Kaura Namoda,0,NG,1563652769,64,12.59,6.58,78.82,9.64
Marsh Harbour,1,BS,1563652769,69,26.54,-77.06,84.76,8.75
Muros,20,ES,1563652770,77,42.77,-9.06,69.01,9.17
Sao Filipe,46,CV,1563652770,81,14.9,-24.5,72.88,18.52
Cockburn Town,0,TC,1563652770,79,21.46,-71.14,82.6,13.47
Otjimbingwe,0,NA,1563652770,50,-22.35,16.13,52.0,0.2
Pevek,91,RU,1563652770,94,69.7,170.27,32.38,4.05
Curup,100,ID,1563652770,92,-3.47,102.53,67.66,3.42
Ploemeur,0,FR,1563652771,82,47.73,-3.43,68.0,12.75
Palmer,20,AU,1563652771,76,-34.85,139.16,54.0,10.29
Vaini,100,IN,1563652771,91,15.34,74.49,77.56,7.2
Flin Flon,75,CA,1563652771,45,54.77,-101.88,66.2,4.7
Kavieng,100,PG,1563652771,75,-2.57,150.8,83.86,17.31
Oga,90,IT,1563652771,77,46.46,10.35,59.0,8.05
Thompson,75,CA,1563652475,39,55.74,-97.86,66.2,11.41
Egvekinot,100,RU,1563652772,93,66.32,-179.17,42.28,2.93
Saint Anthony,1,US,1563652248,25,43.97,-111.68,75.2,8.05
Ouahigouya,41,BF,1563652772,36,13.58,-2.42,90.16,11.21
Bambous Virieux,40,MU,1563652772,83,-20.34,57.76,71.6,6.93
Taybad,0,IR,1563652772,20,34.74,60.78,81.34,17.07
Solnechnyy,100,RU,1563652251,98,50.72,136.64,64.06,2.53
Iqaluit,90,CA,1563652772,93,63.75,-68.52,42.01,12.75
Georgetown,75,GY,1563652773,88,6.8,-58.16,80.6,6.93
Constantine,40,DZ,1563652685,40,36.36,6.61,86.0,6.93
Mahebourg,40,MU,1563652248,83,-20.41,57.7,71.6,6.93
Fortuna,90,US,1563652773,82,40.6,-124.16,82.0,9.17
Dunkirk,20,FR,1563652773,68,51.03,2.38,66.2,14.99
Zhezkazgan,11,KZ,1563652773,31,47.8,67.71,81.34,13.82
Monzon,90,IT,1563652773,93,46.45,11.69,66.0,13.87
Atuona,0,PF,1563652774,78,-9.8,-139.03,79.72,12.15
East London,7,ZA,1563652402,85,-33.02,27.91,43.18,8.1
Kapit,88,MY,1563652774,99,2.02,112.94,72.34,0.69
Cherskiy,98,RU,1563652774,62,68.75,161.3,44.98,7.11
Tuktoyaktuk,90,CA,1563652477,87,69.44,-133.03,55.4,9.17
Airai,0,TL,1563652476,63,-8.93,125.41,65.68,3.87
Touros,75,BR,1563652774,69,-5.2,-35.46,80.6,12.75
Lahan,2,NP,1563652774,85,26.71,86.48,78.64,3.33
Turmeque,54,CO,1563652775,69,5.32,-73.49,59.56,7.09
Nantucket,1,US,1563652775,83,41.28,-70.1,91.4,11.41
Cayenne,75,GF,1563652775,78,4.94,-52.33,82.4,5.82
Clyde River,75,CA,1563652775,86,70.47,-68.59,41.0,10.29
Sao Joao da Barra,40,BR,1563652775,69,-21.64,-41.05,73.4,16.11
Kenai,90,US,1563652776,93,60.55,-151.26,66.99,9.17
Shiyan,97,CN,1563652776,82,32.65,110.78,70.0,1.48
Hermanus,100,ZA,1563652473,87,-34.42,19.24,48.0,3.0
Ippy,50,CF,1563652776,96,6.26,21.2,66.22,1.28
Severo-Kurilsk,33,RU,1563652622,96,50.68,156.12,45.52,12.12
Arraial do Cabo,75,BR,1563652776,68,-22.97,-42.02,71.6,20.8
Alekseyevsk,93,RU,1563652776,54,57.84,108.35,53.62,9.1
Hobart,50,AU,1563652393,62,-42.88,147.33,51.8,13.87
Salvador,90,BR,1563652777,76,-12.98,-38.48,75.94,22.46
Hobyo,76,SO,1563652777,73,5.35,48.53,76.66,25.19
Sioux Lookout,75,CA,1563652777,82,50.1,-91.92,68.0,3.36
Lahij,65,YE,1563652777,40,13.06,44.88,94.48,7.02
Rabo de Peixe,40,PT,1563652777,88,37.8,-25.58,73.4,5.82
Qaqortoq,40,GL,1563652252,59,60.72,-46.03,60.8,8.05
Qiyang,91,CN,1563652777,91,26.59,111.85,77.92,1.77
Seoul,90,KR,1563652573,94,37.57,126.98,75.2,9.04
Gladstone,90,AU,1563652778,72,-23.84,151.26,59.0,2.24
Isiro,0,CD,1563652778,98,2.77,27.62,66.4,2.01
Geraldton,75,CA,1563652778,43,49.72,-86.95,73.4,10.29
Celestun,0,MX,1563652778,81,20.87,-90.4,82.42,16.4
Dubti,0,ET,1563652778,22,11.74,41.09,97.18,5.32
Baykit,44,RU,1563652779,67,61.68,96.39,49.66,9.28
Khandbari,10,NP,1563652779,91,27.38,87.21,55.06,1.9
Lata,1,IN,1563652779,90,30.78,78.62,41.2,1.1
Port Alfred,31,ZA,1563652475,77,-33.59,26.89,51.01,3.0
Ilulissat,75,GL,1563652779,71,69.22,-51.1,51.8,4.7
Noyakert,0,AM,1563652779,37,39.83,44.67,84.2,20.8
Ola,68,RU,1563652779,93,59.58,151.3,49.48,2.01
Lubao,14,CD,1563652780,35,-5.39,25.75,73.6,1.16
Port Arthur,1,US,1563652686,66,29.9,-93.93,93.2,9.17
Faanui,12,PF,1563652780,73,-16.48,-151.75,77.38,13.15
Bagotville,90,AU,1563652780,93,-28.98,153.42,55.99,8.05
Sinnamary,94,GF,1563652780,76,5.38,-52.96,82.24,15.21
Sussex,75,CA,1563652780,48,45.72,-65.51,89.01,8.05
Salinas,1,US,1563652741,60,36.67,-121.66,80.01,12.75
Yulara,0,AU,1563652474,50,-25.24,130.99,53.6,6.93
Mareeba,40,AU,1563652781,72,-16.99,145.42,66.2,9.17
Diamantino,96,BR,1563652781,34,-14.4,-56.44,85.48,6.31
Ponta do Sol,61,BR,1563652476,64,-20.63,-46.0,60.28,5.23
Sangar,0,RU,1563652781,67,63.92,127.47,52.36,0.78
Bandarbeyla,100,SO,1563652782,65,9.49,50.81,77.2,28.03
Santa Isabel do Rio Negro,56,BR,1563652782,92,-0.41,-65.02,80.8,3.18
Ribeira Grande,20,PT,1563652782,83,38.52,-28.7,75.2,8.05
Mar del Plata,26,AR,1563652782,48,-46.43,-67.52,41.38,9.35
Niksar,6,TR,1563652782,89,40.59,36.95,51.46,4.43
Dengzhou,0,CN,1563652782,67,32.69,112.08,78.64,1.14
Kodiak,40,US,1563652783,21,39.95,-94.76,96.01,10.29
San Andres,100,PH,1563652783,90,13.32,122.68,77.74,2.64
Dubasari,40,MD,1563652783,64,47.26,29.16,73.4,6.93
Les Cayes,0,HT,1563652783,77,18.19,-73.75,83.86,16.96
Ust-Karsk,100,RU,1563652783,97,52.71,118.82,54.52,5.53
Kropotkin,31,RU,1563652783,53,45.43,40.58,72.88,9.64
Gafanha da Encarnacao,20,PT,1563652784,93,40.62,-8.73,66.99,11.41
Butaritari,33,KI,1563652474,68,3.07,172.79,84.4,5.99
Ende,43,ID,1563652784,81,-8.84,121.65,74.5,5.17
Longyearbyen,75,NO,1563652784,93,78.22,15.63,42.8,8.05
Lashio,100,MM,1563652784,99,22.93,97.75,70.18,0.65
Molochnoye,0,UA,1563652784,57,44.91,34.04,65.32,2.19
